2022-05-13 22:17:31,274 INFO    MainThread:20936 [wandb_setup.py:_flush():69] setting env: {}
2022-05-13 22:17:31,275 INFO    MainThread:20936 [wandb_setup.py:_flush():69] setting login settings: {}
2022-05-13 22:17:31,275 INFO    MainThread:20936 [wandb_init.py:_log_setup():342] Logging user logs to C:\Users\usef2\Documents\USC\PhD\RL Project\ML Delivery\RL_drone-main_traffic\wandb\run-20220513_221731-39jcoe7q\logs\debug.log
2022-05-13 22:17:31,275 INFO    MainThread:20936 [wandb_init.py:_log_setup():343] Logging internal logs to C:\Users\usef2\Documents\USC\PhD\RL Project\ML Delivery\RL_drone-main_traffic\wandb\run-20220513_221731-39jcoe7q\logs\debug-internal.log
2022-05-13 22:17:31,275 INFO    MainThread:20936 [wandb_init.py:init():375] calling init triggers
2022-05-13 22:17:31,275 INFO    MainThread:20936 [wandb_init.py:init():382] wandb.init called with sweep_config: {}
config: {}
2022-05-13 22:17:31,275 INFO    MainThread:20936 [wandb_init.py:init():424] starting backend
2022-05-13 22:17:31,275 INFO    MainThread:20936 [backend.py:_multiprocessing_setup():72] multiprocessing start_methods=spawn, using: spawn
2022-05-13 22:17:31,278 INFO    MainThread:20936 [backend.py:ensure_launched():135] starting backend process...
2022-05-13 22:17:31,350 INFO    MainThread:20936 [backend.py:ensure_launched():140] started backend process with pid: 27928
2022-05-13 22:17:31,351 INFO    MainThread:20936 [wandb_init.py:init():429] backend started and connected
2022-05-13 22:17:31,351 INFO    MainThread:20936 [wandb_init.py:init():477] updated telemetry
2022-05-13 22:17:31,352 INFO    MainThread:20936 [wandb_init.py:init():500] communicating current version
2022-05-13 22:17:32,736 INFO    MainThread:20936 [wandb_init.py:init():505] got version response upgrade_message: "wandb version 0.12.16 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-05-13 22:17:32,737 INFO    MainThread:20936 [wandb_init.py:init():513] communicating run to backend with 30 second timeout
2022-05-13 22:17:32,891 INFO    MainThread:20936 [wandb_init.py:init():540] starting run threads in backend
2022-05-13 22:17:34,406 INFO    MainThread:20936 [wandb_run.py:_console_start():1601] atexit reg
2022-05-13 22:17:34,406 INFO    MainThread:20936 [wandb_run.py:_redirect():1475] redirect: SettingsConsole.WRAP
2022-05-13 22:17:34,406 INFO    MainThread:20936 [wandb_run.py:_redirect():1512] Wrapping output streams.
2022-05-13 22:17:34,408 INFO    MainThread:20936 [wandb_run.py:_redirect():1536] Redirects installed.
2022-05-13 22:17:34,408 INFO    MainThread:20936 [wandb_init.py:init():565] run started, returning control to user process
2022-05-13 22:17:34,408 INFO    MainThread:20936 [wandb_config.py:__setitem__():141] config set TEST_TYPE = CUMULATIVE - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001A6944846D8>>
2022-05-13 22:17:34,408 INFO    MainThread:20936 [wandb_run.py:_config_callback():843] config_cb TEST_TYPE CUMULATIVE None
2022-05-13 22:17:34,408 INFO    MainThread:20936 [wandb_config.py:__setitem__():141] config set Baseline = A2C - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001A6944846D8>>
2022-05-13 22:17:34,409 INFO    MainThread:20936 [wandb_run.py:_config_callback():843] config_cb Baseline A2C None
2022-05-13 22:17:34,409 INFO    MainThread:20936 [wandb_config.py:__setitem__():141] config set HighBW = 5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001A6944846D8>>
2022-05-13 22:17:34,409 INFO    MainThread:20936 [wandb_run.py:_config_callback():843] config_cb HighBW 5 None
2022-05-13 22:17:34,409 INFO    MainThread:20936 [wandb_config.py:__setitem__():141] config set BW_Req = 0.5 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001A6944846D8>>
2022-05-13 22:17:34,409 INFO    MainThread:20936 [wandb_run.py:_config_callback():843] config_cb BW_Req 0.5 None
2022-05-13 22:17:34,409 INFO    MainThread:20936 [wandb_config.py:__setitem__():141] config set BW_Maps = 3 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001A6944846D8>>
2022-05-13 22:17:34,409 INFO    MainThread:20936 [wandb_run.py:_config_callback():843] config_cb BW_Maps 3 None
2022-05-13 22:17:34,409 INFO    MainThread:20936 [wandb_config.py:__setitem__():141] config set Punish = 600 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001A6944846D8>>
2022-05-13 22:17:34,409 INFO    MainThread:20936 [wandb_run.py:_config_callback():843] config_cb Punish 600 None
2022-05-13 22:17:34,410 INFO    MainThread:20936 [wandb_config.py:__setitem__():141] config set timesteps = 300000 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001A6944846D8>>
2022-05-13 22:17:34,410 INFO    MainThread:20936 [wandb_run.py:_config_callback():843] config_cb timesteps 300000 None
2022-05-13 22:27:51,814 INFO    MainThread:20936 [wandb_run.py:finish():1271] finishing run usef22/time/39jcoe7q
